second,Volt1,Volt2,Volt3,Volt4
-6.0120000E+00,+3.2066460E+00,+55.3272E-03,+6.7431E-03,+25.1047E-03
-6.0116000E+00,+3.2185235E+00,+28.3385E-03,-8.3681E-03,+11.6021E-03
-6.0112000E+00,+3.2050209E+00,+41.8411E-03,-275.4E-06,+17.0119E-03
-6.0108000E+00,+3.2179725E+00,+28.8894E-03,+8.3683E-03,+8.3683E-03
-6.0104000E+00,+3.2050209E+00,+25.1047E-03,-6.2199E-03,+8.3683E-03
-6.0100000E+00,+3.1990878E+00,+31.0377E-03,+19.1716E-03,+14.3013E-03
-6.0096000E+00,+3.1882845E+00,+31.0491E-03,+8.3683E-03,+25.1047E-03
-6.0092000E+00,+3.2039354E+00,+40.7555E-03,+8.3683E-03,+9.4538E-03
-6.0088000E+00,+3.1920579E+00,+25.1047E-03,-8.3681E-03,+12.1416E-03
-6.0084000E+00,+3.2050209E+00,+33.7370E-03,+264.2E-06,+7.8401E-03
-6.0080000E+00,+3.2050209E+00,+14.8586E-03,-5.1230E-03,+5.1231E-03
-6.0076000E+00,+3.2034072E+00,+26.7184E-03,+6.7545E-03,+9.9820E-03
-6.0072000E+00,+3.1947571E+00,+35.3684E-03,-1.8955E-03,+18.6320E-03
-6.0068000E+00,+3.2050209E+00,+25.1047E-03,-2.9633E-03,+8.3683E-03
-6.0064000E+00,+3.2050209E+00,+41.2951E-03,-8.3681E-03,+8.3683E-03
-6.0060000E+00,+3.2050209E+00,+25.1047E-03,+4.0553E-03,+37.5281E-03
-6.0056000E+00,+3.1958490E+00,+34.2765E-03,-8.3681E-03,+15.9328E-03
-6.0052000E+00,+3.2023153E+00,+41.8411E-03,+5.6626E-03,+8.3683E-03
-6.0048000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+25.1047E-03
-6.0044000E+00,+3.2120331E+00,+32.1169E-03,-8.3681E-03,+25.1047E-03
-6.0040000E+00,+3.1980150E+00,+41.8411E-03,-8.3681E-03,+25.1047E-03
-6.0036000E+00,+3.2050145E+00,+25.1110E-03,-8.3681E-03,+8.3746E-03
-6.0032000E+00,+3.1979896E+00,+29.9572E-03,+3.5157E-03,+25.1047E-03
-6.0028000E+00,+3.2120458E+00,+41.8411E-03,-18.0796E-03,+25.1047E-03
-6.0024000E+00,+3.2050209E+00,+41.8411E-03,-10.5342E-03,-4.0361E-03
-6.0020000E+00,+3.1909774E+00,+41.8411E-03,+8.3683E-03,+22.4118E-03
-6.0016000E+00,+3.2050209E+00,+34.2893E-03,+8.3683E-03,+816.5E-06
-6.0012000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+16.4533E-03
-6.0008000E+00,+3.1882845E+00,+25.6379E-03,+8.3683E-03,-7.3017E-03
-6.0004000E+00,+3.1990688E+00,+41.8411E-03,+8.3683E-03,+25.1047E-03
-6.0000000E+00,+3.2012552E+00,+41.8411E-03,-1.8828E-03,+25.1047E-03
-5.9996000E+00,+3.2033944E+00,+41.8411E-03,-8.3681E-03,+9.9947E-03
-5.9992000E+00,+3.2050209E+00,+11.6007E-03,-1.9032E-03,+14.8332E-03
-5.9988000E+00,+3.1969295E+00,+25.1047E-03,+25.1047E-03,+25.6583E-03
-5.9984000E+00,+3.2012348E+00,+38.0549E-03,+12.1544E-03,+21.3185E-03
-5.9980000E+00,+3.2050209E+00,+26.1775E-03,+8.3683E-03,+25.1047E-03
-5.9976000E+00,+3.2050209E+00,+35.9093E-03,+8.3683E-03,+19.1729E-03
-5.9972000E+00,+3.2050209E+00,+35.8953E-03,-2.4224E-03,+8.3683E-03
-5.9968000E+00,+3.2050209E+00,+41.8411E-03,-8.3681E-03,+24.0178E-03
-5.9964000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+12.1403E-03
-5.9960000E+00,+3.2050209E+00,+33.7356E-03,+8.3683E-03,+16.4737E-03
-5.9956000E+00,+3.2050209E+00,+28.3512E-03,-5.1216E-03,+8.3683E-03
-5.9952000E+00,+3.2066333E+00,+41.8411E-03,+8.3683E-03,+38.6163E-03
-5.9948000E+00,+3.2217573E+00,+35.3698E-03,+1.8970E-03,+14.8395E-03
-5.9944000E+00,+3.2104271E+00,+25.1047E-03,-8.3681E-03,+13.7744E-03
-5.9940000E+00,+3.2212100E+00,+41.2938E-03,-8.3681E-03,+24.5574E-03
-5.9936000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+25.1047E-03
-5.9932000E+00,+3.2141914E+00,+25.1047E-03,-802.3E-06,+15.9341E-03
-5.9928000E+00,+3.2077278E+00,+25.1047E-03,-8.3681E-03,-5.6612E-03
-5.9924000E+00,+3.2050209E+00,+27.2566E-03,-6.2162E-03,+20.8007E-03
-5.9920000E+00,+3.2050209E+00,+34.8302E-03,+8.3683E-03,-1.3573E-03
-5.9916000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+20.2380E-03
-5.9912000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+8.3760E-03
-5.9908000E+00,+3.1931357E+00,+25.1047E-03,+1.3343E-03,+13.2195E-03
-5.9904000E+00,+3.2050209E+00,+25.1047E-03,+15.3945E-03,+25.1047E-03
