second,Volt1,Volt2,Volt3,Volt4
+257.500E-03,+3.308454E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+260.000E-03,+3.297358E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+262.500E-03,+3.305994E+00,+3.317856E+00,+4.601046E+00,+25.000E-03
+265.000E-03,+3.315324E+00,+3.341303E+00,+4.601046E+00,+25.000E-03
+267.500E-03,+3.315324E+00,+3.316466E+00,+4.601046E+00,-531E-06
+270.000E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,+8.105E-03
+272.500E-03,+3.290111E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+275.000E-03,+3.315701E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+277.500E-03,+3.290864E+00,+3.332985E+00,+4.601046E+00,+540E-06
+280.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+9.176E-03
+282.500E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+285.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+287.500E-03,+3.315324E+00,+3.331914E+00,+4.601046E+00,+14.916E-03
+290.000E-03,+3.330077E+00,+3.341998E+00,+4.601046E+00,+10.247E-03
+292.500E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+295.000E-03,+3.281851E+00,+3.339479E+00,+4.601046E+00,+25.000E-03
+297.500E-03,+3.304169E+00,+3.319680E+00,+4.601046E+00,+47.318E-03
+300.000E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,-8.473E-03
+302.500E-03,+3.310278E+00,+3.313571E+00,+4.601046E+00,+25.000E-03
+305.000E-03,+3.345207E+00,+3.312115E+00,+4.601046E+00,+21.410E-03
+307.500E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,+37.226E-03
+310.000E-03,+3.315324E+00,+3.321136E+00,+4.601046E+00,+12.389E-03
+312.500E-03,+3.285826E+00,+3.338023E+00,+4.601046E+00,+25.000E-03
+315.000E-03,+3.344136E+00,+3.313186E+00,+4.601046E+00,+25.000E-03
+317.500E-03,+3.315324E+00,+3.321822E+00,+4.601046E+00,+38.297E-03
+320.000E-03,+3.270312E+00,+3.320065E+00,+4.601046E+00,+13.460E-03
+322.500E-03,+3.315324E+00,+3.311429E+00,+4.601046E+00,+27.904E-03
+325.000E-03,+3.315324E+00,+3.314257E+00,+4.601046E+00,+52.741E-03
+327.500E-03,+3.334429E+00,+3.308525E+00,+4.601046E+00,+10.632E-03
+330.000E-03,+3.315324E+00,+3.331529E+00,+4.601046E+00,+1.996E-03
+332.500E-03,+3.313492E+00,+3.341998E+00,+4.601046E+00,+26.833E-03
+335.000E-03,+3.315324E+00,+3.335194E+00,+4.601046E+00,+25.000E-03
+337.500E-03,+3.315324E+00,+3.326558E+00,+4.601046E+00,+25.000E-03
+340.000E-03,+3.339400E+00,+3.341998E+00,+4.601046E+00,+925E-06
+342.500E-03,+3.282613E+00,+3.308525E+00,+4.601046E+00,-7.711E-03
+345.000E-03,+3.315324E+00,+3.316399E+00,+4.601046E+00,+25.000E-03
+347.500E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,+41.962E-03
+350.000E-03,+3.290178E+00,+3.316851E+00,+4.601046E+00,+25.000E-03
+352.500E-03,+3.315015E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+355.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+58.473E-03
+357.500E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+360.000E-03,+3.315324E+00,+3.315780E+00,+4.601046E+00,+25.000E-03
+362.500E-03,+3.316705E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+365.000E-03,+3.328764E+00,+3.308525E+00,+4.601046E+00,+14.983E-03
+367.500E-03,+3.315324E+00,+3.327178E+00,+4.601046E+00,+25.000E-03
+370.000E-03,+3.288035E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+372.500E-03,+3.284303E+00,+3.308525E+00,+4.601046E+00,-3.569E-03
+375.000E-03,+3.292939E+00,+3.319613E+00,+4.601046E+00,+47.385E-03
+377.500E-03,+3.315324E+00,+3.288801E+00,+4.601046E+00,+44.724E-03
+380.000E-03,+3.315324E+00,+3.313638E+00,+4.601046E+00,+25.000E-03
+382.500E-03,+3.285374E+00,+3.338475E+00,+4.601046E+00,+25.000E-03
+385.000E-03,+3.303165E+00,+3.296366E+00,+4.601046E+00,+3.686E-03
+387.500E-03,+3.302646E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+390.000E-03,+3.315324E+00,+3.337956E+00,+4.601046E+00,+25.000E-03
+392.500E-03,+3.286446E+00,+3.341998E+00,+4.601046E+00,+29.594E-03
+395.000E-03,+3.315324E+00,+3.321755E+00,+4.601046E+00,-8.473E-03
+397.500E-03,+3.293458E+00,+3.320132E+00,+4.601046E+00,+14.741E-03
+400.000E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,+27.971E-03
+402.500E-03,+3.343132E+00,+3.314190E+00,+4.601046E+00,-2.808E-03
+405.000E-03,+3.296153E+00,+3.308525E+00,+4.601046E+00,+5.828E-03
+407.500E-03,+3.315324E+00,+3.331462E+00,+4.601046E+00,+25.000E-03
+410.000E-03,+3.315324E+00,+3.312324E+00,+4.601046E+00,+25.000E-03
+412.500E-03,+3.348797E+00,+3.308525E+00,+4.601046E+00,+45.000E-03
+415.000E-03,+3.297224E+00,+3.326625E+00,+4.601046E+00,+25.000E-03
+417.500E-03,+3.315324E+00,+3.317989E+00,+4.601046E+00,+25.000E-03
+420.000E-03,+3.315324E+00,+3.310182E+00,+4.601046E+00,+25.000E-03
+422.500E-03,+3.307517E+00,+3.308525E+00,+4.601046E+00,-665E-06
+425.000E-03,+3.298881E+00,+3.308525E+00,+4.601046E+00,+42.029E-03
+427.500E-03,+3.315324E+00,+3.333605E+00,+4.601046E+00,+25.000E-03
+430.000E-03,+3.282094E+00,+3.308768E+00,+4.601046E+00,+25.000E-03
+432.500E-03,+3.324203E+00,+3.308525E+00,+4.601046E+00,+9.285E-03
+435.000E-03,+3.315324E+00,+3.324483E+00,+4.601046E+00,+25.000E-03
+437.500E-03,+3.315324E+00,+3.334676E+00,+4.601046E+00,+25.000E-03
+440.000E-03,+3.316638E+00,+3.341998E+00,+4.601046E+00,+55.845E-03
+442.500E-03,+3.291801E+00,+3.332048E+00,+4.601046E+00,+25.000E-03
+445.000E-03,+3.315324E+00,+3.289939E+00,+4.601046E+00,+6.414E-03
