s,v,i
3059,3.29998,2.8675e-05
3060,3.30006,1.73866e-05
3061,3.29993,2.14089e-05
3062,3.29997,1.73866e-05
3063,3.29983,1.90734e-05
3064,3.29998,2.47825e-05
3065,3.30003,2.9713e-05
3066,3.3,1.68676e-05
3067,3.29997,-2.33562e-06
3068,3.29992,1.75164e-05
3069,3.29995,2.72477e-05
3070,3.29987,1.28453e-05
3071,3.29991,6.74698e-06
3072,3.29995,1.15478e-05
3073,3.29997,2.36147e-05
3074,3.30003,3.73683e-05
3075,3.29995,7.65524e-06
3076,3.30006,3.15295e-05
3077,3.29994,3.03618e-05
3078,3.29986,3.59411e-05
3079,3.29997,2.99725e-05
3080,3.29999,2.85452e-05
3081,3.29993,4.28171e-06
3082,3.29994,3.04915e-05
3083,3.29995,1.85544e-05
3084,3.29996,7.91476e-06
3085,3.30004,2.8156e-05
3086,3.29996,1.73866e-05
3087,3.2999,4.16502e-05
3088,3.30007,2.68585e-05
3089,3.29997,2.10197e-05
3090,3.30005,2.21874e-05
3091,3.30009,3.77576e-05
3092,3.2999,1.93329e-05
3093,3.29999,2.72478e-05
3094,3.29994,2.6599e-05
3095,3.29997,2.10197e-05
3096,3.29973,7.52549e-06
3097,3.29994,3.32163e-05
3098,3.29996,4.697e-05
3099,3.29992,1.95924e-05
3100,3.29997,4.42452e-05
3101,3.29999,2.85453e-05
3102,3.29997,2.80262e-05
3103,3.29989,9.08251e-06
3104,3.29985,8.17426e-06
3105,3.3,2.33552e-05
3106,3.29999,2.01114e-05
3107,3.29988,3.99634e-05
3108,3.30002,2.29659e-05
3109,3.29982,2.12792e-05
3110,3.3,3.59411e-05
3111,3.29986,1.34941e-05
3112,3.29989,1.68676e-05
3113,3.29989,1.75164e-05
3114,3.29997,9.47178e-06
3115,3.29989,3.11403e-05
3116,3.30001,4.12609e-05
3117,3.29979,2.06304e-05
3118,3.29996,2.05006e-05
3119,3.29998,2.15387e-05
3120,3.30001,1.73866e-05
3121,3.30004,3.16593e-05
3122,3.30005,2.56907e-05
3123,3.29994,2.45229e-05
3124,3.30002,1.07693e-05
3125,3.29995,2.84155e-05
3126,3.30011,2.5042e-05
3127,3.29977,3.50319e-06
3128,3.29993,2.41337e-05
3129,3.29994,3.32163e-05
3130,3.29988,3.2308e-05
3131,3.29994,-1.051e-05
3132,3.30004,2.56907e-05
3133,3.29993,3.65898e-05
3134,3.29995,5.18998e-06
3135,3.29993,2.10197e-05
3136,3.29985,1.55701e-05
3137,3.2999,3.2437e-06
3138,3.30006,1.84246e-05
3139,3.29986,1.49213e-05
3140,3.29999,2.8156e-05
3141,3.29997,1.27156e-05
3142,3.29997,3.41245e-05
3143,3.29992,2.75072e-05
3144,3.29988,1.23263e-05
3145,3.29997,2.88047e-05
3146,3.2999,2.27064e-05
3147,3.29987,3.76279e-05
3148,3.29993,1.71271e-05
3149,3.2999,2.40039e-05
3150,3.29988,2.94535e-05
3151,3.2999,1.68676e-05
3152,3.3,1.15478e-05
3153,3.29996,9.73127e-06
3154,3.29993,3.26973e-05
3155,3.29987,1.20668e-05
3156,3.30005,2.51717e-05
3157,3.30002,2.8156e-05
3158,3.29998,3.73684e-05
3159,3.29998,2.49122e-05
3160,3.29995,2.82858e-05
3161,3.29996,4.15204e-05
3162,3.3,3.38651e-05
3163,3.29992,4.52832e-05
3164,3.29997,-1.68686e-06
3165,3.29996,1.42718e-06
3166,3.29994,2.72477e-05
3167,3.29994,1.90734e-05
3168,3.30008,1.71271e-05
3169,3.30004,3.19188e-05
3170,3.29989,3.56816e-05
3171,3.29988,3.67196e-05
3172,3.29987,2.98428e-05
3173,3.29996,2.25767e-05
3174,3.29996,1.95924e-05
3175,3.29997,1.55701e-05
3176,3.3,3.81469e-05
3177,3.29987,1.54403e-05
3178,3.29993,3.54221e-05
3179,3.3,3.19188e-05
3180,3.30001,1.50511e-05
3181,3.29989,2.93238e-05
3182,3.30002,3.78874e-05
3183,3.30004,4.4375e-05
