second,Volt1,Volt2,Volt3,Volt4
-5.724000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.722000E+00,+3.209892E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.720000E+00,+3.211374E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.718000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.716000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.714000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.712000E+00,+3.211273E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.710000E+00,+3.209438E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.708000E+00,+3.212469E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.706000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.704000E+00,+3.207278E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.702000E+00,+3.209453E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.700000E+00,+3.206954E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.698000E+00,+3.215160E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.696000E+00,+3.212469E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.694000E+00,+3.208142E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.692000E+00,+3.209653E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.690000E+00,+3.211165E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.688000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.686000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.684000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.682000E+00,+3.207726E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.680000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
