s,v,i
5956,3.3,3.127e-05
5957,3.29989,3.64601e-05
5958,3.29988,-2.20586e-06
5959,3.30002,1.55701e-05
5960,3.29996,3.63303e-05
5961,3.30001,2.75072e-05
5962,3.29991,2.08899e-05
5963,3.29988,3.21783e-05
5964,3.30007,2.11494e-05
5965,3.29992,2.02412e-05
5966,3.2999,3.24378e-05
5967,3.29994,1.32346e-05
5968,3.29993,3.85361e-05
5969,3.30001,1.86841e-05
5970,3.29999,2.4004e-05
5971,3.29988,2.42634e-05
5972,3.29995,3.34758e-05
5973,3.29999,2.05007e-05
5974,3.29993,2.08899e-05
5975,3.29994,2.63395e-05
5976,3.29989,2.8675e-05
5977,3.30001,2.08899e-05
5978,3.29991,2.28362e-05
5979,3.29987,1.76461e-05
5980,3.30016,1.58296e-05
5981,3.29996,2.9713e-05
5982,3.30001,2.49122e-05
5983,3.29991,9.99077e-06
5984,3.30001,3.72386e-05
5985,3.29985,2.42634e-05
5986,3.29991,3.06213e-05
5987,3.3,1.71271e-05
5988,3.29999,2.21875e-05
5989,3.29993,2.88048e-05
5990,3.29978,2.36147e-05
5991,3.3001,2.64692e-05
5992,3.29997,3.50328e-05
5993,3.30003,1.79056e-05
5994,3.29993,3.81469e-05
5995,3.30003,3.30866e-05
5996,3.29991,1.21965e-05
5997,3.29999,3.13998e-05
5998,3.29996,1.37536e-05
5999,3.29993,2.53015e-05
6000,3.29985,4.28179e-05
6001,3.29983,1.10288e-05
6002,3.30002,1.73866e-05
6003,3.29993,3.38651e-05
6004,3.29989,4.52832e-05
6005,3.29994,8.30402e-06
6006,3.2999,3.45138e-05
6007,3.29988,3.0232e-05
6008,3.2999,3.19188e-05
6009,3.29995,1.89436e-05
6010,3.29995,3.58113e-05
6011,3.30001,3.0232e-05
6012,3.29998,2.51717e-05
6013,3.3,3.2827e-05
6014,3.30023,5.85179e-05
6015,3.29995,4.697e-05
6016,3.29992,2.21874e-05
6017,3.29997,2.608e-05
6018,3.29996,1.40131e-05
6019,3.29984,1.79056e-05
6020,3.29993,3.30866e-05
6021,3.29985,1.27156e-05
6022,3.29993,2.19279e-05
6023,3.29989,2.23172e-05
6024,3.29995,1.89436e-05
6025,3.29991,4.20394e-05
6026,3.29995,3.20485e-05
6027,3.29985,3.73683e-05
6028,3.30003,4.2817e-06
6029,3.29994,3.76269e-06
6030,3.29998,2.63395e-05
6031,3.29999,3.45138e-05
6032,3.30002,2.41337e-05
6033,3.29982,4.41146e-06
6034,3.29997,2.23172e-05
6035,3.29988,1.45321e-05
6036,3.29992,1.95924e-05
6037,3.29999,1.79056e-05
6038,3.30008,4.68402e-05
6039,3.29988,4.12609e-05
6040,3.30004,1.38833e-05
6041,3.29996,3.127e-05
6042,3.29991,1.90734e-05
6043,3.30003,2.62097e-05
6044,3.29995,2.85452e-05
6045,3.29996,3.60708e-05
6046,3.29998,1.44023e-05
6047,3.3001,3.1789e-05
6048,3.30004,1.40131e-05
6049,3.29991,2.29659e-05
6050,3.29981,1.86841e-05
6051,3.29998,5.03435e-05
6052,3.30005,2.88047e-05
6053,3.30003,7.91474e-06
6054,3.3,4.11311e-05
6055,3.29996,1.62188e-05
6056,3.29997,3.95741e-05
6057,3.30003,1.08991e-05
6058,3.29984,1.11585e-05
6059,3.3,2.07601e-05
6060,3.29981,3.58113e-05
6061,3.29996,1.64784e-05
6062,3.29983,3.47733e-05
6063,3.29984,-4.67116e-06
6064,3.29991,3.49031e-05
6065,3.30001,1.79056e-05
6066,3.30003,3.34758e-05
6067,3.29994,6.48749e-06
6068,3.29992,2.53014e-05
6069,3.30002,2.07601e-05
6070,3.29993,2.36146e-05
6071,3.29998,2.33552e-05
6072,3.29989,1.50511e-05
6073,3.29986,2.50419e-05
6074,3.3,2.94535e-05
6075,3.29989,6.87675e-06
6076,3.29992,1.67379e-05
6077,3.30003,3.60708e-05
6078,3.29993,3.34758e-05
6079,3.29999,2.82857e-05
6080,3.2999,6.61724e-06
6081,3.30003,3.41245e-05
6082,3.29991,2.94535e-05
6083,3.29989,1.55701e-05
6084,3.29991,3.127e-05
6085,3.30008,2.32254e-05
6086,3.30003,1.05098e-05
6087,3.29991,3.97039e-05
6088,3.2998,1.51808e-05
6089,3.29987,1.72569e-05
6090,3.2998,1.27156e-05
6091,3.29985,1.75164e-05
6092,3.29983,6.228e-06
6093,3.29998,3.59411e-05
6094,3.29995,3.89254e-05
6095,3.30018,3.13998e-05
6096,3.2999,1.79056e-05
6097,3.29998,2.30957e-05
6098,3.29997,3.30865e-05
6099,3.29987,1.14181e-05
6100,3.29998,2.59502e-05
6101,3.29999,4.8008e-05
6102,3.29991,3.50328e-05
6103,3.30005,5.1641e-05
6104,3.29994,3.82766e-05
6105,3.29993,1.73866e-05
6106,3.29986,1.33643e-05
6107,3.29997,3.20485e-05
6108,3.30005,2.95833e-05
6109,3.30003,2.25767e-05
6110,3.2999,1.69974e-05
6111,3.3,3.10106e-05
6112,3.29995,2.01114e-05
6113,3.29991,7.00648e-06
6114,3.29998,1.92031e-05
6115,3.29996,3.10105e-05
6116,3.30007,3.2308e-05
6117,3.29987,1.93329e-05
6118,3.29999,2.43932e-05
6119,3.29993,1.32346e-05
6120,3.29992,5.12518e-05
6121,3.29995,1.16768e-06
6122,3.3,2.38742e-05
6123,3.3,1.67379e-05
6124,3.29994,1.80354e-05
6125,3.3,1.58296e-05
6126,3.29998,3.26973e-05
6127,3.29983,5.18997e-06
6128,3.30001,1.59593e-05
6129,3.29995,2.03709e-05
6130,3.30003,2.51717e-05
6131,3.29982,2.45229e-05
6132,3.29996,2.62097e-05
6133,3.29997,3.36056e-05
6134,3.2999,2.23172e-05
6135,3.29987,2.45229e-05
6136,3.3,2.98428e-05
6137,3.29991,2.10197e-05
6138,3.30006,3.36056e-05
6139,3.30006,1.56998e-05
6140,3.29999,3.41246e-05
6141,3.29996,9.47175e-06
6142,3.29995,3.24378e-05
6143,3.30005,4.46344e-05
6144,3.29995,2.84155e-05
6145,3.29986,1.23263e-05
6146,3.29995,2.05007e-05
6147,3.29994,3.38651e-05
6148,3.29989,4.19096e-05
6149,3.3,5.57923e-06
6150,3.3,1.34941e-05
6151,3.30001,9.86106e-06
6152,3.30001,2.77667e-05
6153,3.29994,1.24561e-05
6154,3.29986,1.92031e-05
6155,3.29996,9.861e-06
6156,3.29997,1.11586e-05
6157,3.29988,2.42635e-05
6158,3.29985,1.77759e-05
6159,3.29995,2.46527e-05
6160,3.29998,1.94626e-05
6161,3.29993,8.69325e-06
6162,3.29977,1.19371e-05
6163,3.30006,2.98428e-05
6164,3.29985,1.50511e-05
6165,3.29994,2.37444e-05
6166,3.30011,3.93146e-05
6167,3.30002,3.46436e-05
6168,3.29989,2.94535e-05
6169,3.29995,4.11312e-05
6170,3.30001,2.62097e-05
6171,3.29998,4.10014e-05
6172,3.29992,2.10197e-05
6173,3.30003,2.80262e-05
6174,3.3,2.02412e-05
6175,3.29988,3.36056e-05
6176,3.29997,2.608e-05
6177,3.30005,2.46527e-05
6178,3.29965,-9.99095e-06
6179,3.29994,2.608e-05
6180,3.29999,4.25584e-05
6181,3.29998,2.24469e-05
6182,3.30003,1.77759e-05
6183,3.29985,3.01023e-05
6184,3.29993,1.95924e-05
6185,3.29978,2.25767e-05
6186,3.29995,2.30957e-05
6187,3.30011,2.58205e-05
6188,3.29996,2.58204e-05
6189,3.30003,3.26973e-05
6190,3.29995,2.56907e-05
6191,3.29981,1.07693e-05
6192,3.29993,2.28362e-05
6193,3.29984,1.90734e-05
6194,3.29992,2.53014e-05
6195,3.30006,2.21874e-05
6196,3.29994,1.56998e-05
6197,3.29982,3.0751e-05
6198,3.29983,2.29659e-05
6199,3.29992,1.32346e-05
6200,3.29997,3.82766e-05
6201,3.29988,4.06121e-05
6202,3.29995,2.77667e-05
6203,3.30003,3.56816e-05
6204,3.30005,3.56816e-05
6205,3.29984,1.15478e-05
6206,3.29999,1.40131e-05
6207,3.29987,2.02412e-05
6208,3.29996,1.51809e-05
6209,3.29992,7.13623e-06
6210,3.30005,4.29477e-05
6211,3.2999,1.98519e-05
6212,3.30015,4.16501e-05
6213,3.30001,1.69974e-05
6214,3.29989,2.38742e-05
6215,3.29996,2.78965e-05
6216,3.30003,4.58022e-05
6217,3.29998,2.45229e-05
6218,3.2999,3.2827e-05
6219,3.29987,6.22796e-06
6220,3.29993,2.25767e-05
6221,3.29995,3.32163e-05
6222,3.29981,1.51808e-05
6223,3.30002,2.9713e-05
6224,3.29999,1.85544e-05
6225,3.29985,2.85452e-05
6226,3.3,2.67287e-05
6227,3.29994,3.11403e-05
6228,3.29981,1.81641e-06
6229,3.29997,2.28362e-05
